state,label,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
neutral,powerByBand,2.1653164788674224,27.046917708543777,1.1602502007788764,2.197630789974425,4.629424314017361,72.20593088667503,5.667216688769607,1.85916198969066,0.9839115535355843,5.0948189024860335,0.7421077498801236,1.587797178373271,1.978025961355184,21.53067509871695,3.057372004728739,0.9078033882659016,0.6206627365768276,18.31367947138452,1.230282317410062,1.9391797267225943,6.162811326222121,235.1881523163505,8.578481851653784,2.173619069053067,0.2090638335840828,1.0797902138523263,0.2178538114801894,0.2960062147910169,1.0335174390994428,6.564302836011776,0.9910571010841972,0.2430717681528467,0.5311327971948081,35.819362762906806,1.091167108906829,2.327578003420711,7.157144398865221,201.98104414094848,9.890445924213203,3.004304753244924
neutral,powerByBand,3.448359826103959,11.746166122288743,1.4194852679987686,1.5533244876811256,6.043307623652922,51.04733613269394,5.972498266452391,1.0782921776305956,0.8922238527234856,4.978300404676292,0.763970734542231,1.1259789547718837,4.859947593856564,19.81852034454188,2.9747464972045887,1.4035807905451103,2.577867580513634,31.15862778663088,1.3135243432051324,1.3622225583765364,6.832886111319987,216.2966852821857,12.547961186039958,1.103593993750323,0.174083927420273,1.1325916872274917,0.3030725381721485,0.2075380770707233,0.8992381280712056,2.2938378935452786,1.3106185846410858,0.1202387807721337,2.113631482436187,16.71819780140834,1.390960891810496,1.2447607776534235,4.160897193942003,154.91618199211186,6.50705871085858,1.3462740168502134
neutral,powerByBand,1.1489346250606205,28.82838906527651,1.6508540703127708,2.386135060565863,7.977682733219562,85.27139009940807,6.7849298468691925,1.7896337069071435,1.2390443742280042,3.941958210878452,1.2101990058048022,2.088549620734227,5.111350900140977,26.312823406563968,3.967968172275456,1.305358633391347,5.6931357770427855,16.14983967285454,1.1861615680816096,2.868079448051292,3.0547811655374373,204.93248127408245,18.665286364946823,0.6128113274426302,0.2124115220831903,0.9399981331574316,0.2280930834627259,0.4148067493598794,0.7079190293044182,3.2307803214342328,0.9652643039834924,0.3210823388744777,4.312370500681239,30.241446675601463,1.5980349266889302,1.613389960084924,6.731784391648523,118.28421964852024,11.97056404929866,1.1855212806347706
neutral,powerByBand,2.502485196084498,28.462643724739664,1.4950375705688834,2.28091023566872,3.808883145959905,31.615465702133843,5.634450425746483,5.514763535944645,1.1119585687761822,4.518193347578173,1.3458814586537065,1.785361112311329,5.046840409216532,17.803470512386248,4.102144673210815,1.4218872785425438,3.63800287898,31.943827133997694,3.046655075405771,1.328276951992898,4.567708304392236,299.2437003754667,24.477749815226904,2.3123482500935584,0.1733246113056576,0.4867017720552219,0.1955765342460984,0.3514515184115738,0.6553252002659162,3.1530868357550497,0.9030606784679316,0.2907252095321028,2.0485692836834506,33.77547830102098,1.9823492844164925,0.990760865149251,5.390073947644128,257.8188744118811,15.952916959006105,2.767439325994191
neutral,powerByBand,2.213116590998001,15.39865221278292,2.2457338697693534,1.7476249040343506,9.716323939307172,99.17613668641556,5.321999676940576,2.573883779280026,1.0289952053045206,4.461266907180477,0.9758544406796684,1.8131564444857944,5.594751165621471,30.098563762193653,2.3682155115624166,1.6228329304859683,1.6754865061736146,29.522435122621403,2.004216506365646,4.034599908260276,7.960628312344981,212.44475055157096,15.91007383269605,2.753766042577018,0.0855054684753605,0.6605755471953145,0.2344966049567093,0.2510227535080965,0.6695175347106064,11.639965334086416,0.9521936801114288,0.1918086108462188,2.048607193006263,43.47494899801139,1.094812859217333,3.136138681491412,5.686784032841257,196.54171432016992,9.73985999439412,1.310968152078419
neutral,powerByBand,3.985661553697993,2.67039622227664,1.4481004335390937,5.029545863107464,7.195694493019886,130.27171327170893,7.65747253237727,5.10137726269384,1.0290781538652496,4.192532165231246,1.3225084635224749,1.6921516995833508,4.209245549807566,39.5081702940657,4.97086292486453,1.390338715520628,3.5195484037297167,25.77288070704955,2.9444100763463723,4.094762153169332,10.775049599449735,301.8983394562271,23.357216342473045,4.028949644194278,0.2994277005391021,1.151127634689802,0.1800499491203298,0.4965144566782133,0.9471823637795842,12.42682892398872,1.1509890092895303,0.3609376843265792,2.371598611969733,24.96888554270316,2.6870861019376417,2.039031626529288,9.11559546978133,226.8551540085284,10.99125893362473,3.0758685126349268
neutral,powerByBand,3.706788328088792,26.461320848913868,0.8404886604143659,6.867848677563807,3.9188920161703327,63.69998385009035,5.452205835374604,3.1812667180365977,1.3608385014897006,2.823992911849718,1.0228458415665782,2.529549904773516,4.058526962186942,21.851153021035408,3.1666249154404307,2.302057270869496,1.76571705027394,51.182463890386245,2.065386606635397,1.0025889584394252,12.782634423934702,233.63206715447828,23.885061152983244,1.7292934208036093,0.3084376462381971,0.9150465916711924,0.2107964962139895,0.460331704678298,0.5969334965724684,7.713018343002378,0.8464514382542697,0.3882902681505426,1.31310355533512,39.67766955030152,1.3279319328039807,0.8661948740971028,11.297858674031632,205.68638923579908,15.267297450659823,2.7465892480880627
neutral,powerByBand,4.354100116844685,23.81810296330786,0.7096516500723045,8.012460468378501,5.426238505787102,79.74840536231333,5.163131606316699,1.286790225775889,1.02271281662491,2.575195310889184,0.9760419906403022,1.9273415291021,2.4645418146064304,22.63694620253365,3.414645984792517,1.0512774786110897,1.856553079227772,19.76702287859457,0.4082175977370977,2.033046134494493,7.983246469550795,145.47449620474177,34.01128891609584,1.2425133194312132,0.2064018480317206,0.7047435255774164,0.2103598654660955,0.2871174144776673,0.5739945069715865,7.510305695580696,0.8973214608832869,0.2053109986183938,1.8712609965659883,17.4363581236611,0.7899233492489447,1.5100190604347383,6.109822989185891,128.80063976214046,25.687716969963247,1.9203388337531968
neutral,powerByBand,4.169507839912892,17.17203828839091,0.8865864206582539,4.217252320307537,7.415648131122549,73.77541425281022,7.78476563379062,1.288838510254018,0.9521886904183436,5.665559056032635,1.6161246126871252,1.7962557083703257,4.414348772116604,11.244272512435478,5.464955665921957,1.6315239491397122,3.2056437410553364,13.78198419754401,0.8398773623337115,2.5846720033583623,4.771563639116927,219.0170863173483,6.145512132935846,2.260154771539938,0.2410732833241691,0.8829156732897938,0.3358719583821188,0.3523323148997078,0.5015389946786769,3.950202741133564,1.0053138769000247,0.3256655488959358,3.138152843459374,14.87667052865837,1.3451907685698463,1.620039618230288,4.400819716657527,158.41333325947312,4.455353584033747,1.7686895032715406
neutral,powerByBand,4.10931085026171,17.99565123951916,1.990097675277595,4.266176558760059,11.64098204105727,53.30834940444255,6.350162607313962,2.745577014191807,1.2719701766842564,3.64676632141205,1.4504612582964729,1.965483946386977,4.955108328044151,21.45274736434064,4.149164856122234,1.9088100761896944,3.165581319505803,11.135639151172404,1.6286556289739096,1.4849854366796846,3.808723066379484,78.27496961372712,14.093125969130607,1.408386589527218,0.2506809746339952,1.0720271957581002,0.283069899254406,0.6095262513130395,0.8589001292110244,3.7588203398521247,0.8086225421295552,0.4468791663380093,2.5374462589091937,22.433473506771133,1.832168524921694,1.7610282634811276,5.723743835127151,69.70829027928015,15.253771727686914,1.623107531983582
neutral,powerByBand,1.6508221546103206,10.390691002430865,1.0844526990479373,3.138840758383956,4.781518729826302,34.92532174098906,4.603513312875091,3.3960836770938685,1.2631880934590063,4.424237526896377,0.8100332389194107,2.339718092524969,4.975405052725575,11.596776359004888,3.057741331811993,2.1590423891309123,1.2751192515667662,31.07351208991894,0.9475812985714838,4.886612091048761,15.757875803947435,254.80874924244463,7.738459597026901,2.2835430160715298,0.2809434167351298,0.8743283364719693,0.148854022785631,0.5151268128841917,0.7711485940250798,3.163697469572739,0.523178629873016,0.3842353091802214,0.8441942495831839,19.45685100459612,1.4630347245892534,3.5682073871668254,11.679918702467576,231.1306191609488,9.13841011938876,1.9058364893031572
neutral,powerByBand,1.1599989650118303,18.05532547774449,1.132467653009291,1.6311910082432766,5.27828637668063,65.28056408650697,3.9128575919225015,1.2224846102878313,1.177493559055887,3.967804992666241,0.8961826023468862,1.7239399462706644,4.669654403429247,21.96306339239117,2.4712620289051506,1.4412790299526634,0.6671658643585132,50.87472451953624,1.20554781779212,2.319932798815002,9.68444501852877,66.06430987624319,11.94640494219837,2.678524933713485,0.2474227165722544,1.5687035844558157,0.169313132798968,0.382161379869087,0.9366622985126588,7.400470139588188,0.8167831086708042,0.4146990313306091,0.7475409896853533,52.39243958540912,0.7371644146038278,2.849032243316178,7.657663489536904,100.84459443917169,13.69945015719773,2.5448918119893857
neutral,powerByBand,2.075450615116849,12.129296972222912,1.0614305828387771,2.505999774901549,3.235355358848443,64.07352844096171,4.894371440089913,3.410170744823868,1.1597219293462655,6.922904933844186,1.1728723088192088,2.163841443160811,3.5424962216082285,24.36218765660164,3.9513426624125945,1.9195584358245803,2.63771745689412,26.67175307211759,0.7328998750421618,1.587227938608931,5.472961355381825,190.8719135973332,18.91652552807723,3.202666364705344,0.1888586731035593,1.747018019118001,0.2538805427503904,0.3354947482155283,0.92135579992575,7.7132658525050335,1.0801487456964989,0.4616507230774623,1.9976500742034309,30.33924886232999,0.8662868330820886,1.4557703829361162,8.804623101042255,167.7625267095371,19.72418791006673,1.5972090828079049
neutral,powerByBand,3.5248278484767077,17.76327350009238,1.2279435024615164,2.221988287379187,6.767247104589624,72.72977461048963,5.517423414231014,4.398257763431444,1.4888910084378244,6.292996528399303,1.4026037205272763,2.101044227001803,4.709874463136704,22.42676514452292,4.702626527643831,1.1927244826130687,3.7855593474636025,34.15513786871786,0.3292323049596601,0.9451676291367496,4.695177437263231,97.91579452310842,22.805717733460344,0.4226190055534972,0.2955625822928118,1.5209294942803515,0.1765142648264946,0.4449292482499845,0.6200290683543896,7.605293552413419,0.7819147785992056,0.3805755507719042,2.4759882077412843,33.89681715880042,0.1999708794265171,1.372178293654694,4.597244619270553,161.48697383485222,12.327693136443369,0.7879249988665379
neutral,powerByBand,1.8185617604279625,16.170975141540147,2.0375856120668288,2.717646554259538,2.179665038206116,29.58027625080497,7.196288513799641,0.9565143283762004,1.012551213371559,6.811868188615591,0.81888997565155,1.6195821440037972,5.604877310184802,30.19247201647683,3.493626395504386,1.201264286193309,2.029208547246575,5.75509265841046,1.0971902908724704,1.6435884404991492,7.413799709796451,225.88807272414505,19.622412414816505,1.3356937996919231,0.2308493592718392,2.0191602655607244,0.2058299217174078,0.2388786798859049,0.8385820772042459,7.16773990772263,0.894642830856712,0.2652624471333091,2.5603423278602,9.19864774021836,1.1067755240298012,1.5070732898451955,9.336275505297598,234.2132737900687,11.157900572760202,1.674081457130486
neutral,powerByBand,4.426991077949224,23.916144321194647,1.5310110630371458,6.783201580600792,6.363250713403886,72.91025161457812,4.979466021371268,3.2729910976465995,1.6236553963451283,8.180176263920771,1.0786495486620469,2.540284583566024,4.175376074739157,20.523047664778677,3.274263711548004,1.9081858520853028,2.155239533839501,66.63087527728143,1.9846011074276229,4.328229188259101,4.41950034379096,180.9057293150326,24.810831173640665,1.4530362649054949,0.2096103346482599,2.217770847748624,0.2276653188627402,0.229693554804972,0.6346642950144404,8.471585864715312,1.2695418002777752,0.228048182634267,3.4871784206761625,79.27024932864717,1.7439400499055346,4.709803227051443,6.654258951510371,170.10753694291986,23.798770601953976,0.9409587809306136
neutral,powerByBand,1.507905952234195,16.126359148915782,2.215897079366532,3.352064989599,2.773655113077485,150.3786391572553,5.735584658263153,1.8380520628383208,1.002959243488739,6.633373137622982,1.2579760290406312,1.6692602710621924,5.105154008070255,31.624229468315495,4.4516188614767325,0.9709322143935252,1.963968182311933,49.11241983997471,0.8741518667078327,1.6882275584545907,7.425945628467014,244.79283522046973,31.984092538302605,0.6389547432554921,0.2277557839907134,2.02406785089686,0.2353684169993376,0.2737319947496678,0.7145837543905323,8.575142133833824,1.341327675512105,0.2229905902604334,0.9342643096276316,62.36475825116982,0.958449290873425,2.224287161703275,3.6139404432938553,156.37241794019434,22.151467591254576,0.6420520823954963
neutral,powerByBand,0.9392508428959376,31.05541967005037,0.7187888750825536,4.32768605978443,4.174721500536873,91.14122159854362,5.639456380404012,2.757799978546728,1.0748069822038613,8.331180641220044,1.0842475806426233,1.7049273135667162,2.7514397384423908,28.030847263249527,4.056502663945141,1.1359417367083535,3.20507635162028,34.91082262452836,1.2215007959551798,1.4633767550321797,10.07976982249214,156.56425855689724,40.8594030105594,1.88707540413762,0.1911127849806307,1.8242231022765305,0.1430403272783729,0.268777508774895,0.684412735539926,8.795734170368316,1.3002276400684774,0.3203843635591756,2.854176153454797,29.60993885988236,0.5961903655435049,1.9486436917000465,10.005291567576345,84.66745501038487,23.260422704955268,1.6527626929371653
