label,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
powerByBand,1197.4116456838724,34433.40428930995,14010.434267275721,989.654127405253,3981.1673242895836,11431.740087358363,153.31603034857426,1907.564927397193,537.497517783428,15332.992817280352,6655.708923637716,360.0331003551013,1564.7245941625556,5424.526659042851,62.06937816903337,846.9332869371442,2859.8646217132487,81794.22450742609,36467.80095360294,1445.7769588690023,8169.599760164327,30318.756583521863,432.7867288620721,4523.442796204246,58.53620196232296,1619.753804136159,837.5596213447319,40.604922026089085,152.19862938159696,680.0120215598685,21.388578597041306,89.18708242695405,2713.6580484785973,76329.65318025679,34870.74350494117,1191.4549459664836,7572.789009956234,28515.663590540113,349.7778597740019,4220.220512357819
powerByBand,146.5087389011741,3845.3261210613164,3842.6374792586284,394.63613334279097,1012.5265640099036,3046.4968773680444,237.17059241518413,211.09102274871103,54.11108385195644,1250.5071587157065,1051.452626751991,80.26240621235472,301.99012110452605,893.6971888793626,62.522785193605095,67.64358585128123,1038.2273279024282,33721.03556314783,24647.104360288948,977.7264458140297,1386.8285498625949,22569.84878004835,897.978979182115,1852.2152340371242,19.667516913606804,474.52272999090627,431.82415920689346,13.716832462331524,48.21315402032267,351.29445709708784,22.06074444529986,25.673978030043315,404.4938158674509,13505.137293687523,10163.60720766553,1235.129535722717,1647.956490194426,9903.564093924258,420.0252305436222,734.9536637258149
powerByBand,32.02383162599634,1831.4392766657622,1752.7959661058085,1335.4690311917566,3088.9138969993,1536.1224811366756,87.80181005760322,63.12479231878873,13.7779541479976,1732.244296618451,1087.2052055602337,219.40689778567233,702.7275638290103,973.5099854573133,58.32159038134814,24.647655941562927,400.4112608366252,10696.618070320654,10878.876801215434,2160.1879276898035,7628.60765249057,9978.511610063724,242.33423958511509,646.1893274595233,4.124312012866792,623.5396167416181,393.1733266117825,105.88427043842634,303.6550134863727,349.3312049973216,21.637851952984168,8.786406410462586,121.63268364011407,4409.490843086001,4699.631120090247,1774.2274678181038,6043.0401243919605,3851.1965830827935,192.0885448399716,238.02549718072348
powerByBand,60.79051445778868,8736.116948072326,5247.729385491194,2773.2799137692564,6986.689141732099,4080.8262914434767,628.3389242549437,11.619312762876268,20.21353761781525,2182.2855878136315,1057.418318151287,803.721984863823,1543.2810531532173,789.3025297920905,133.29752126623205,8.752779912679635,293.187314127009,38537.36978810404,28236.787815513395,2746.892935294447,6771.341372201212,26757.136859817183,2320.320218466006,175.16780062325236,3.7738500619607063,613.3742577144436,374.8806281031779,107.46933697733103,305.8321788015439,264.5734060405422,43.248975024702716,1.538981800327033,256.6382565577479,35462.18754296848,21994.016091281585,4809.783790310006,11483.912517485325,20069.609271207322,2009.4624391723987,62.645559906731314
powerByBand,46.885935114482265,7039.312769176783,5645.695249166188,1819.8824192609638,2286.325343306404,5447.175010169544,726.5203289437055,24.6637570990021,35.88695558055622,3219.015812595075,2461.6542575338594,494.80675438773073,983.6990134612699,1864.680604398052,254.4825557280553,6.419903307929001,181.02678983583957,32245.364681533894,20974.45967844694,2128.1093207357776,5070.6207772072985,19690.01725166572,1860.1528769849574,37.339750730455954,4.0264727272988905,1070.0513041085396,805.7219431408156,76.20926408343757,145.43992826133268,605.4698631783988,42.83941443690176,1.4027115248700792,190.33915250468377,34446.32806918486,23998.128263623457,2381.5726608086115,2703.1760806799916,20037.67855337918,1945.710900031237,31.996511876798152
powerByBand,34.93694697509693,7033.677219045568,5663.548474961536,783.443844859046,1975.6351003752143,4603.822933985763,240.63346680816665,12.476927889132568,13.295214234599808,2623.627409111336,1972.3356728630056,400.45914072752356,785.1170988883981,1462.595743781812,53.74011330594367,3.93730067728569,57.0355987544854,30740.239062070126,19935.51047767774,3576.8729904595,4841.5101617470245,18138.770966558386,1916.8326051902905,38.64030540358604,4.517571794702087,1058.73311970683,790.3906796915697,76.64198185164588,140.34123219260147,595.2745544076018,9.481682762174621,1.1214191012289394,41.440023456331964,16731.994424588163,12143.794048121234,3343.7228162021984,5395.214154961677,11165.210619521336,1076.2673538053684,26.74969034595899
powerByBand,22.405999563397998,2687.566320360525,2744.249318525239,459.6490831075155,858.6040398079725,3419.3979136920516,189.42794191845806,5.917146391250498,9.97808538439559,1187.8862609902376,999.3995594335195,206.4106715450048,258.7573920855368,1406.8108405468531,99.01270542825712,3.453779141724901,145.27367951078043,11100.264769324898,13880.560976199595,1793.9052413732059,1829.4882581935863,16252.470630828462,1469.0153022332343,23.8402612091971,4.8293211804554,431.39701418047747,396.6436019015875,67.20055901049776,101.02041168511909,549.9662994138114,33.31779874625655,0.6798465431785587,102.81024094430437,5506.673664332767,8980.58513727993,2215.452052207187,1900.6874360913248,11524.447710772374,1044.6388785465433,11.442723801472148
powerByBand,64.56182680477217,1464.3840083560601,3071.639178350582,3855.5863325672035,3570.46486814458,4005.0287613863984,361.6927696409836,17.571629350277814,10.253328477551392,573.661703279687,988.1932578952243,1377.1382991392784,2567.757588462153,1347.5893635186276,110.24615785347747,13.523614237708767,204.92830197468606,5214.134838345634,11535.687861832379,7448.655121554164,7803.035421081255,15952.125782577148,1327.5537837987722,28.965812142340937,1.3546665824687978,232.368142537652,396.7256123475541,266.68811548529413,447.75240949763446,547.5478710391787,35.49773625883287,1.942565070613303,149.32339557600903,3171.1708186172646,5886.8120771481335,8616.060249079706,7241.959346823103,8441.40646437851,692.7586847683486,28.833753033412563
powerByBand,102.1345389823946,3645.0505251791787,1030.1226247110374,5759.195387358057,8892.315340843787,1873.8354254160597,205.09389467330467,6.852529228024864,18.690435272695712,2280.938417287444,842.518025160803,1753.1105843572448,2625.3172466551096,1033.2121034201234,100.74260656102653,8.453190276626698,325.4957347540105,15281.900074651026,5562.300755292384,10958.64672838082,20668.570626119686,10273.349250421605,1685.8393051775124,20.635915151471842,3.5462399760299377,492.5576042571638,269.2608329876085,303.07964818924285,469.26676122029977,398.06386503459163,36.10275028364526,1.5392507386469547,193.93777875764275,16172.842675134198,7063.2297149990245,9129.349531859289,16621.28636727215,12644.815574823584,1407.6204986626956,17.082403019867414
powerByBand,111.5278712883511,4862.883159202156,2174.1727196586867,1497.737882722844,4009.5875603371983,3002.4389008117155,647.8827331085803,36.36881791047583,13.98694572291608,1074.6818688311023,666.2927556418091,489.8866983074716,1002.1825940368217,1051.5035733075376,108.94399798042463,7.845098859159358,72.24679521942133,24958.70246251265,14135.46630753161,7635.890506473253,17064.47474203201,17367.307372634918,832.7317988382111,25.950367056366968,5.149257511465395,343.1343047726513,252.06955528168913,183.38026821597322,336.2647466930871,392.2525124598489,35.330815508927685,2.0125896814991564,83.94964885731963,18512.32137826392,8232.663910764997,3792.3334104397377,7498.449778924463,10618.872418673118,821.9832136116884,32.5977875096131
